"constructor_ref","start_year","end_year","primary_hex_code"
"alfa",2019,\N,"#900000"
"alphatauri",2020,\N,"#000000"
"alpine",2021,\N,"#0090FF"
"arrows",1999,2002,"#E47B0F"
"aston_martin",2021,\N,"#006E61"
"bar",1991,2005,"#FF4D5C"
"benneton",1986,1991,"#40AB63"
"benneton",1992,1993,"#FCD133"
"benneton",1994,2001,"#01B2DA"
"bmw_sauber",2006,2009,"#001473"
"brawn",2009,2009,"#A0E601"
"caterham",2012,2012,"#102226"
"caterham",2013,2014,"#005919"
"ferrari",1950,\N,"#DC0000",
"force_india",2008,2016,"#EB6F05"
"force_india",2017,2018,"#F395C7"
"haas",2016,2020,"#787878"
"haas",2021,\N,"#BC132C"
"honda",2006,2008,"#FF4D5C"
"hrt",2010,2010,"#2D3741"
"hrt",2011,2011,"#FF3A2E"
"hrt",2012,2012,"#9C7335"
"jaguar",2000,2004,"#0D4923"
"jordan",1991,1991,"#277D53"
"jordan",1992,1995,"#1563AB"
"jordan",1996,1996,"#8A673D"
"jordan",1997,2005,"#FFF500"
"lotus_f1",2012,2015,"#C1A43E"
"lotus_racing",2010,2011,"#01332C"
"manor",2016,2016,"#3267A3"
"marussia",2012,2015,"#FF3300"
"mclaren",1974,1996,"#ED200F"
"mclaren",1997,2016,"#7D8288"
"mclaren",2017,2017,"#FC5D00"
"mclaren",2018,\N,"#FF8700"
"mercedes",2010,\N,"#00D2BE"
"mf1",2006,2006,"#40403D"
"minardi",1985,2005,"#000000"
"prost",1997,2001,"#0D0D52"
"racing_point",2019,2020,"#F395C7"
"red_bull",2005,\N,"#0600EF"
"renault",1997,1985,"#D5CA18"
"renault",2002,2006,"#2486E1"
"renault",2007,2009,"#EDC505"
"renault",2010,2010,"#EDB200"
"renault",2011,2011,"#C1A43E"
"renault",2016,2020,"#FFF500"
"sauber",1993,1994,"#000000"
"sauber",1994,2005,"#001D79"
"sauber",2010,2014,"#000000"
"sauber",2015,2017,"#001D79"
"sauber",2018,2018,"#900000"
"spyker_mf1",2006,2006,"#EA5D16"
"spyker",2007,2007,"#EA5D16"
"super_aguri",2006,2008,"#EC0011"
"toro_rosso",2006,2016,"#001A4D"
"toro_rosso",2017,2019,"#001689"
"toyota",2002,2009,"#B30101"
"virgin",2010,2011,"#FF3300"
"williams",1985,1989,"#101938"
"williams",1990,1997,"#093B82"
"williams",1998,1999,"#AE0001"
"williams",2000,2013,"#101938"
"williams",2014,\N,"#005AFF"