constructor_ref,short_name
alphatauri,Alpha Tauri
alpine,Alpine
brabham-alfa_romeo,Brabham
brabham-brm,Brabham
brabham-climax,Brabham
brabham-ford,Brabham
brabham-repco,Brabham
brm-ford,BRM
cooper-alfa_romeo,Cooper
cooper-ats,Cooper
cooper-borgward,Cooper
cooper-brm,Cooper
cooper-castellotti,Cooper
cooper-climax,Cooper
cooper-ferrari,Cooper
cooper-ford,Cooper
cooper-maserati,Cooper
cooper-osca,Cooper
de_tomaso-alfa_romeo,De Tomaso
de_tomaso-ferrari,De Tomaso
de_tomaso-osca,De Tomaso
eagle-climax,Eagle
eagle-weslake,Eagle
haas,Haas
lds-alfa_romeo,LDS
lds-climax,LDS
lotus_f1,Lotus
lotus-borgward,Lotus
lotus-brm,Lotus
lotus-climax,Lotus
lotus-ford,Lotus
lotus-maserati,Lotus
lotus-pw,Lotus
march-alfa_romeo,March
march-ford,March
matra-ford,Matra
mclaren-alfa_romeo,McLaren
mclaren-brm,McLaren
mclaren-ford,McLaren
mclaren-seren,McLaren
shadow-ford,Shadow
shadow-matra,Shadow
spyker_mf1,Spkyer
team_lotus,Lotus