full_name,short_name
Australian Grand Prix,Australia
Malaysian Grand Prix,Malaysia
Chinese Grand Prix,China
Bahrain Grand Prix,Bahrain
Spanish Grand Prix,Spain
Monaco Grand Prix,Monaco
Turkish Grand Prix,Turkey
British Grand Prix,Britain
German Grand Prix,Germany
Hungarian Grand Prix,Hungary
European Grand Prix,Europe
Belgian Grand Prix,Belgium
Italian Grand Prix,Italy
Singapore Grand Prix,Singapore
Japanese Grand Prix,Japan
Brazilian Grand Prix,Brazil
Abu Dhabi Grand Prix,Abu Dhabi
Canadian Grand Prix,Canada
French Grand Prix,France
United States Grand Prix,United States
San Marino Grand Prix,San Marino
Austrian Grand Prix,Austria
Korean Grand Prix,Korea
Indian Grand Prix,India
Russian Grand Prix,Russia
Mexican Grand Prix,Mexico
Azerbaijan Grand Prix,Azerbaijan
Styrian Grand Prix,Styria
70th Anniversary Grand Prix,70th Anniversary
Tuscan Grand Prix,Tuscany
Eifel Grand Prix,Eifel
Portuguese Grand Prix,Portugal
Emilia Romagna Grand Prix,Emilia-Romagna
Sakhir Grand Prix,Sakhir
Qatar Grand Prix,Qatar
Dutch Grand Prix,Netherlands
Mexico City Grand Prix,Mexico
Ṣo Paulo Grand Prix,Brazil
Saudi Arabian Grand Prix,Saudi Arabia
Miami Grand Prix,Miami